,Nombre,Detalles,Precio actual,Precio anterior,Descuento
1,Laptop Lenovo Ideapad S540 Intel Core I7 10ma Generación,na,3599.0,3599.0,0
2,Laptop Lenovo Ideapad S540 Intel Core I5 10ma Gen 8gb 512gb ,na,2959.0,2959.0,0
3,Laptop Lenovo Legion 15.6 I7ma 16gb 1tbssd Rtx2060 Super6gb,na,7199.0,7199.0,0
4,Laptop Hp 250 G7 Core I7-1065g7 8gb/1tb/2v/15.6' Freedos,na,3500.0,3500.0,0
5,Laptop Lenovo Legion 7 Intel Core I7 10ma Gen Cuotas Sin Int,na,8999.0,8999.0,0
6,Laptop Lenovo Legion 5 Amd Ryzen 5 8gb Rtx 2060,na,5299.0,5299.0,0
7,Laptop Lenovo Thinkpad l13 Yoga Intel Core I5 + Combo,na,4649.0,4649.0,0
8,Nuevo Hp 14 Fhd Intel 10th Gen I3 1005g1 3.4ghz 8gb Ram 2...,na,2409.0,2409.0,0
9,Laptop Asus Vivobook 15 F512da Ryzen5 8gbram 512gbssd Vega 8,na,3599.0,3599.0,0
10,Laptop Asus Rog Strix G512li-bi7n10 I7 512gb 8gb,na,5449.0,7628.0,28% OFF
11,Laptop Gamer Asus Tuf Fx506 15.6' I5 10ma 8gb 512ssd V4gb  ,na,4399.0,4399.0,0
12,Laptop Lenovo Ideapad S540 Intel Core I5 10ma Generación,na,3459.0,3459.0,0
13,"Laptop Hp/dell Empresarial Ci7, 12gb, 1tb, Video Hd 2gb Hdmi",Reacondicionado,1489.0,1935.0,23% OFF
14,Laptop Empresarial Core I7  16gb 1 Tb + Ssd  Video Full Hd,Usado,1990.0,1990.0,0
15,Laptop Empresarial Dell / Hp /lenov 11.6 A 14  Ci5 4gb  Ssd ,Usado,999.0,1298.0,23% OFF
16,"Laptop Hp/dell Empresarial Ci7, 4gb, 1tb, Video Hd 2gb, Hdmi",Reacondicionado,1389.0,1805.0,23% OFF
17,Laptop Empresarial Hp Elitebook 840 G3 - Ci5 - 8gb - Ssd,Reacondicionado,1689.0,2199.0,23% OFF
18,Laptop Lenovo Ideapadflex 5 I5 10ma/512gbssd/16gb Bateri 10h,na,4599.0,4599.0,0
19,Laptop Lenovo Thinkpad l15 Intel Core I5 Ctas Sin Int Combo,na,3949.0,3949.0,0
20,Laptop Core I5 3ra Hp Dell Lenovo Asus Acer Toshiba 14 PuLG.,Usado,1339.0,1339.0,0
21,Laptop Asus Vivobook 14 F412da Ryzen7 8gb 512gbssd Vega 10!!,na,3789.0,3789.0,0
22,Laptop Hp 15-dy1005la I5 8gb 512gb Ssd + 32gb Intel Optane,na,3509.0,3509.0,0
23,"Laptop Empresarial Hp Probook 650g1, 15.6'', 8gb Ram, Ssd480",Reacondicionado,1889.0,1889.0,0
24,Laptop Core I5 6ta Hp Dell Lenovo Asus Acer Toshiba 14 PuLG.,Usado,1889.0,1889.0,0
25,Laptop Core I5 2da Hp Dell Lenovo Asus Acer Toshiba 14 PuLG.,Usado,1239.0,1239.0,0
26,Macbook Pro Retina Touch Bar 16 / Core I9 1tb 16gb / 2019,na,13750.0,13750.0,0
27,Asus Tuf A15 Ryzen 7 4800h 15.6' 16gb 1tb+512ssd Rtx2060 6gb,na,6399.0,6399.0,0
